time (seconds),encoderLeft (meters),encoderRight (meters)
1183.801,187.01927185058594,183.54490661621094
1183.898,187.01927185058594,183.54490661621094
1184,187.01925659179688,183.54490661621094
1184.101,187.01925659179688,183.54490661621094
1184.202,187.01925659179688,183.54490661621094
1184.3,187.01925659179688,183.54490661621094
1184.4,187.01925659179688,183.54490661621094
1184.5,187.01925659179688,183.54490661621094
1184.601,187.01925659179688,183.54490661621094
1184.708,187.01925659179688,183.54490661621094
1184.799,187.01925659179688,183.54490661621094
1184.901,187.01925659179688,183.54489135742188
1184.998,187.01925659179688,183.54489135742188
1185.101,187.02159118652344,183.54254150390625
1185.2,187.02394104003906,183.54019165039062
1185.3,187.0262908935547,183.537841796875
1185.4,187.0286407470703,183.53549194335938
1185.499,187.03099060058594,183.53314208984375
1185.601,187.03334045410156,183.53079223632812
1185.701,187.0356903076172,183.5284423828125
1185.8,187.0380401611328,183.52609252929688
1185.904,187.04037475585938,183.52374267578125
1186.009,187.042724609375,183.52137756347656
1186.1,187.04507446289062,183.51902770996094
1186.201,187.04742431640625,183.5166778564453
1186.299,187.04977416992188,183.5143280029297
1186.4,187.0521240234375,183.51197814941406
1186.501,187.05447387695312,183.50962829589844
1186.6,187.05682373046875,183.5072784423828
1186.702,187.05917358398438,183.5049285888672
1186.801,187.06150817871094,183.50257873535156
1186.903,187.06385803222656,183.50022888183594
1187.001,187.0662078857422,183.49786376953125
1187.099,187.0685577392578,183.49551391601562
1187.203,187.07090759277344,183.4931640625
1187.299,187.07325744628906,183.49081420898438
1187.397,187.0756072998047,183.48846435546875
1187.505,187.0779571533203,183.48611450195312
1187.603,187.08029174804688,183.4837646484375
1187.697,187.0826416015625,183.48141479492188
1187.799,187.08499145507812,183.47906494140625
1187.899,187.08734130859375,183.47669982910156
1187.999,187.13687133789062,183.52609252929688
1188.099,187.18687438964844,183.57608032226562
1188.201,187.2368621826172,183.62608337402344
1188.275,187.286865234375,183.67608642578125
1188.4,187.3368682861328,183.72607421875
1188.501,187.38685607910156,183.7760772705078
1188.6,187.43685913085938,183.82608032226562
1188.702,187.4868621826172,183.87606811523438
1188.8,187.53684997558594,183.9260711669922
1188.902,187.58685302734375,183.97607421875
1189.001,187.63685607910156,184.02606201171875
1189.1,187.6868438720703,184.07606506347656
1189.2,187.73684692382812,184.12606811523438
1189.3,187.73960876464844,184.1242218017578
1189.394,187.74195861816406,184.1218719482422
1189.501,187.7443084716797,184.11952209472656
1189.602,187.74664306640625,184.11717224121094
1189.701,187.74899291992188,184.1148223876953
1189.801,187.7513427734375,184.1124725341797
1189.9,187.75369262695312,184.110107421875
1189.998,187.75604248046875,184.10775756835938
1190.102,187.75839233398438,184.10540771484375
1190.198,187.8079071044922,184.15478515625
1190.302,187.85791015625,184.2047882080078
1190.401,187.9079132080078,184.25479125976562
1190.501,187.95790100097656,184.30477905273438
1190.596,188.00790405273438,184.3547821044922
1190.71,188.0579071044922,184.40478515625
1190.801,188.10789489746094,184.45477294921875
1190.9,188.11065673828125,184.45294189453125
1190.998,188.11300659179688,184.45059204101562
1191.103,188.1153564453125,184.4482421875
1191.201,188.11770629882812,184.4458770751953
1191.302,188.12005615234375,184.4435272216797
1191.401,188.12240600585938,184.44117736816406
1191.499,188.124755859375,184.43882751464844
1191.594,188.12709045410156,184.4364776611328
1191.698,188.1294403076172,184.4341278076172
1191.801,188.1317901611328,184.43177795410156
1191.896,188.13414001464844,184.42942810058594
1191.998,188.13648986816406,184.4270782470703
1192.103,188.1388397216797,184.42471313476562
1192.19,188.1411895751953,184.42236328125
1192.302,188.14353942871094,184.42001342773438
1192.399,188.14588928222656,184.41766357421875
1192.506,188.14822387695312,184.41531372070312
1192.601,188.15057373046875,184.4129638671875
1192.698,188.15292358398438,184.41061401367188
1192.801,188.20245361328125,184.4600067138672
1192.901,188.25245666503906,184.50999450683594
1193,188.30245971679688,184.55999755859375
1193.102,188.35244750976562,184.61000061035156
1193.201,188.40245056152344,184.6599884033203
1193.301,188.45245361328125,184.70999145507812
1193.4,188.50244140625,184.75999450683594
1193.513,188.5052032470703,184.75814819335938
1193.6,188.50755310058594,184.75579833984375
1193.697,188.50990295410156,184.75344848632812
1193.8,188.5122528076172,184.7510986328125
1193.901,188.5146026611328,184.74874877929688
1194,188.51693725585938,184.74639892578125
1194.095,188.519287109375,184.74403381347656
1194.201,188.52163696289062,184.74168395996094
1194.301,188.52398681640625,184.7393341064453
1194.401,188.52633666992188,184.7369842529297
1194.499,188.5286865234375,184.73463439941406
1194.597,188.57823181152344,184.78404235839844
1194.682,188.6282196044922,184.83404541015625
1194.801,188.67822265625,184.884033203125
1194.901,188.7282257080078,184.9340362548828
1195,188.77821350097656,184.98403930664062
1195.086,188.82821655273438,185.03402709960938
1195.205,188.8782196044922,185.0840301513672
1195.301,188.92820739746094,185.134033203125
1195.401,188.97821044921875,185.18402099609375
1195.501,188.98097229003906,185.18218994140625
1195.602,188.9833221435547,185.17984008789062
1195.701,188.9856719970703,185.17747497558594
1195.8,189.03521728515625,185.22689819335938
1195.898,189.085205078125,185.2769012451172
1196,189.1352081298828,185.32688903808594
1196.1,189.18521118164062,185.37689208984375
1196.201,189.23519897460938,185.4268798828125
1196.301,189.2852020263672,185.4768829345703
1196.4,189.335205078125,185.52688598632812
1196.501,189.38519287109375,185.57687377929688
1196.6,189.43519592285156,185.6268768310547
1196.701,189.48519897460938,185.6768798828125
1196.801,189.53518676757812,185.72686767578125
1196.9,189.58518981933594,185.77687072753906
1196.999,189.63519287109375,185.82687377929688
1197.099,189.63795471191406,185.8250274658203
1197.2,189.68748474121094,185.87445068359375
1197.29,189.73748779296875,185.92445373535156
1197.4,189.78749084472656,185.9744415283203
1197.508,189.8374786376953,186.02444458007812
1197.601,189.88748168945312,186.07444763183594
1197.701,189.93748474121094,186.12442016601562
1197.795,189.98744201660156,186.1743927001953
1197.9,190.0373992919922,186.224365234375
1198.01,190.08738708496094,186.27432250976562
1198.097,190.1373748779297,186.3242950439453
1198.201,190.18734741210938,186.37428283691406
1198.296,190.23731994628906,186.4242706298828
1198.401,190.2872772216797,186.47425842285156
1198.501,190.33724975585938,186.5242462158203
1198.6,190.38720703125,186.57423400878906
1198.701,190.4371795654297,186.6242218017578
1198.792,190.48715209960938,186.67420959472656
1198.904,190.53712463378906,186.7241973876953
1198.997,190.58709716796875,186.77418518066406
1199.101,190.6370849609375,186.8241729736328
1199.2,190.6870574951172,186.8741455078125
1199.298,190.73703002929688,186.92413330078125
1199.402,190.78701782226562,186.97410583496094
1199.499,190.8369903564453,187.0240936279297
1199.598,190.83969116210938,187.02218627929688
1199.701,190.84202575683594,187.0198211669922
1199.804,190.84437561035156,187.01747131347656
1199.899,190.8467254638672,187.01512145996094
1200.001,190.84906005859375,187.0127716064453
1200.104,190.89859008789062,187.0621795654297
1200.199,190.9485626220703,187.11216735839844
1200.296,190.99853515625,187.16213989257812
1200.399,191.0485076904297,187.21212768554688
1200.501,191.0991973876953,187.26280212402344
